ID,Nombre,Categoría,Descripción,Precio,Stock,Peso (kg),Proveedor,Fecha de Ingreso,Descuento (%)
99,Producto 106,Hogar,Descripción del producto 99,654.2,149,36.23,Proveedor A,2020-05-22,0.06
100,Producto 129,Juguetería,Descripción del producto 100,325.44,324,20.11,Proveedor B,2020-11-12,33.04
101,Producto 421,Deportes,Descripción del producto 101,120.71,457,46.13,Proveedor C,2023-01-28,14.68
102,Producto 478,Hogar,Descripción del producto 102,444.57,124,47.38,Proveedor C,2020-12-27,21.96
103,Producto 68,Deportes,Descripción del producto 103,997.9,227,3.43,Proveedor D,2022-07-18,35.11
104,Producto 398,Moda,Descripción del producto 104,314.72,395,45.09,Proveedor C,2024-06-27,14.42
105,Producto 204,Moda,Descripción del producto 105,605.18,447,40.06,Proveedor C,2024-06-27,19.03
106,Producto 231,Hogar,Descripción del producto 106,603.81,485,1.32,Proveedor A,2021-03-17,48.05
107,Producto 252,Moda,Descripción del producto 107,373.31,480,48.05,Proveedor D,2023-12-11,41.89
108,Producto 245,Moda,Descripción del producto 108,146.25,57,5.9,Proveedor D,2022-04-17,16.68
109,Producto 251,Juguetería,Descripción del producto 109,947.55,326,39.54,Proveedor B,2024-04-26,38.48
110,Producto 181,Hogar,Descripción del producto 110,770.3,270,18.03,Proveedor C,2021-04-17,1.49
111,Producto 89,Moda,Descripción del producto 111,476.26,312,47.53,Proveedor C,2023-10-25,25.85
112,Producto 205,Deportes,Descripción del producto 112,912.67,423,20.38,Proveedor B,2024-11-25,35.14
113,Producto 160,Hogar,Descripción del producto 113,821.91,147,37.54,Proveedor B,2024-08-09,9.67
114,Producto 378,Hogar,Descripción del producto 114,695.14,495,45.73,Proveedor B,2021-02-17,7.88
115,Producto 351,Juguetería,Descripción del producto 115,560.38,64,28.46,Proveedor D,2021-02-15,16.37
116,Producto 359,Moda,Descripción del producto 116,197.94,148,12.19,Proveedor A,2020-04-21,47.51
117,Producto 371,Hogar,Descripción del producto 117,358.3,330,46.92,Proveedor C,2022-07-22,42.08
118,Producto 394,Deportes,Descripción del producto 118,615.83,479,27.32,Proveedor D,2021-06-21,16.52
119,Producto 292,Juguetería,Descripción del producto 119,676.03,186,21.56,Proveedor D,2021-10-11,30.96
120,Producto 325,Deportes,Descripción del producto 120,487.94,284,3.7,Proveedor C,2022-04-08,45.37
121,Producto 393,Deportes,Descripción del producto 121,244.29,329,39.16,Proveedor A,2024-03-10,47.21
122,Producto 404,Hogar,Descripción del producto 122,502.97,81,3.3,Proveedor A,2021-04-09,41.21
123,Producto 392,Juguetería,Descripción del producto 123,337.51,425,3.5,Proveedor B,2024-10-22,37.5
124,Producto 342,Deportes,Descripción del producto 124,247.87,277,12.03,Proveedor A,2021-04-12,8.73
125,Producto 338,Juguetería,Descripción del producto 125,378.11,324,48.8,Proveedor A,2023-07-17,4.36
126,Producto 136,Electrónica,Descripción del producto 126,92.13,121,24.75,Proveedor C,2022-04-09,0.69
127,Producto 296,Hogar,Descripción del producto 127,819.21,74,20.25,Proveedor D,2021-04-17,16.54
128,Producto 48,Electrónica,Descripción del producto 128,591.93,61,28.85,Proveedor B,2023-12-15,40.2
129,Producto 15,Deportes,Descripción del producto 129,599.97,60,41.55,Proveedor C,2021-09-10,41.86
130,Producto 450,Deportes,Descripción del producto 130,896.13,220,39.02,Proveedor C,2023-01-27,14.99
131,Producto 438,Deportes,Descripción del producto 131,387.64,444,14.51,Proveedor C,2022-11-22,44.32
132,Producto 129,Moda,Descripción del producto 132,864.0,12,47.5,Proveedor D,2020-11-23,36.59
133,Producto 124,Hogar,Descripción del producto 133,804.36,407,33.62,Proveedor A,2023-11-05,6.56
134,Producto 394,Electrónica,Descripción del producto 134,473.38,22,5.13,Proveedor B,2023-11-22,6.11
135,Producto 273,Juguetería,Descripción del producto 135,418.87,102,11.52,Proveedor C,2021-07-26,18.37
136,Producto 24,Deportes,Descripción del producto 136,195.59,488,41.11,Proveedor C,2023-02-02,0.87
137,Producto 434,Electrónica,Descripción del producto 137,721.31,318,44.76,Proveedor B,2022-10-11,42.65
138,Producto 144,Deportes,Descripción del producto 138,481.37,351,3.23,Proveedor A,2020-10-16,40.35
139,Producto 215,Deportes,Descripción del producto 139,115.85,179,25.16,Proveedor D,2021-06-21,36.17
140,Producto 491,Juguetería,Descripción del producto 140,176.11,62,2.4,Proveedor A,2020-05-06,17.31
141,Producto 337,Deportes,Descripción del producto 141,798.42,197,48.09,Proveedor D,2024-05-08,9.98
142,Producto 222,Deportes,Descripción del producto 142,969.9,428,31.93,Proveedor C,2024-08-23,41.38
143,Producto 195,Hogar,Descripción del producto 143,945.33,96,25.0,Proveedor A,2020-07-02,32.77
144,Producto 194,Hogar,Descripción del producto 144,345.25,320,4.8,Proveedor B,2021-05-21,13.54
145,Producto 497,Deportes,Descripción del producto 145,176.5,355,19.97,Proveedor C,2024-04-09,12.57
146,Producto 402,Hogar,Descripción del producto 146,653.42,47,9.7,Proveedor D,2021-09-01,30.77
147,Producto 415,Juguetería,Descripción del producto 147,603.45,287,27.77,Proveedor B,2024-11-01,11.94
148,Producto 161,Deportes,Descripción del producto 148,80.89,280,25.73,Proveedor C,2024-04-08,27.06
149,Producto 177,Electrónica,Descripción del producto 149,632.0,328,6.85,Proveedor A,2022-01-03,22.51
150,Producto 124,Electrónica,Descripción del producto 150,249.75,96,30.21,Proveedor D,2020-03-23,9.42
151,Producto 287,Deportes,Descripción del producto 151,611.26,179,46.7,Proveedor A,2023-06-08,14.73
152,Producto 407,Hogar,Descripción del producto 152,761.32,445,43.0,Proveedor A,2024-03-06,4.28
153,Producto 13,Juguetería,Descripción del producto 153,435.76,377,13.77,Proveedor D,2022-11-27,32.37
154,Producto 39,Juguetería,Descripción del producto 154,849.26,62,18.69,Proveedor A,2024-05-04,47.64
155,Producto 46,Electrónica,Descripción del producto 155,958.72,178,47.92,Proveedor D,2020-09-24,5.41
156,Producto 276,Electrónica,Descripción del producto 156,645.54,24,3.39,Proveedor A,2020-02-13,14.59
157,Producto 252,Deportes,Descripción del producto 157,231.72,200,45.73,Proveedor C,2024-08-07,17.52
158,Producto 211,Juguetería,Descripción del producto 158,792.68,210,40.5,Proveedor A,2022-01-12,36.49
159,Producto 212,Hogar,Descripción del producto 159,204.2,395,28.0,Proveedor B,2023-07-04,20.67
160,Producto 429,Moda,Descripción del producto 160,355.11,307,42.48,Proveedor C,2024-08-08,39.39
161,Producto 188,Juguetería,Descripción del producto 161,461.65,481,0.71,Proveedor B,2022-09-05,7.02
162,Producto 359,Deportes,Descripción del producto 162,146.88,74,42.37,Proveedor C,2020-11-07,6.29
163,Producto 44,Electrónica,Descripción del producto 163,315.02,136,15.56,Proveedor C,2022-06-02,48.84
164,Producto 80,Hogar,Descripción del producto 164,313.36,73,21.92,Proveedor C,2022-03-06,44.8
165,Producto 299,Deportes,Descripción del producto 165,877.8,248,49.47,Proveedor B,2021-05-25,0.17
166,Producto 110,Hogar,Descripción del producto 166,397.5,178,43.01,Proveedor A,2021-05-27,49.12
167,Producto 125,Deportes,Descripción del producto 167,236.2,201,23.8,Proveedor D,2021-09-22,12.68
168,Producto 197,Juguetería,Descripción del producto 168,748.57,376,32.11,Proveedor C,2023-01-05,39.78
169,Producto 237,Deportes,Descripción del producto 169,90.95,492,15.66,Proveedor D,2022-06-24,48.73
170,Producto 66,Juguetería,Descripción del producto 170,442.19,301,42.37,Proveedor D,2020-08-25,1.28
171,Producto 418,Deportes,Descripción del producto 171,207.22,78,12.15,Proveedor C,2023-04-14,47.58
172,Producto 246,Juguetería,Descripción del producto 172,189.76,389,40.32,Proveedor C,2023-02-26,39.95
173,Producto 103,Electrónica,Descripción del producto 173,857.73,436,28.28,Proveedor A,2020-03-24,35.41
174,Producto 140,Electrónica,Descripción del producto 174,188.13,113,14.16,Proveedor C,2022-09-05,11.55
175,Producto 436,Hogar,Descripción del producto 175,396.42,348,31.91,Proveedor A,2022-12-14,44.67
176,Producto 35,Juguetería,Descripción del producto 176,758.37,48,18.18,Proveedor C,2020-05-09,8.31
177,Producto 386,Hogar,Descripción del producto 177,859.27,185,19.56,Proveedor C,2021-08-13,36.09
178,Producto 479,Moda,Descripción del producto 178,703.26,344,14.31,Proveedor C,2021-10-25,30.84
179,Producto 138,Deportes,Descripción del producto 179,77.85,149,40.09,Proveedor B,2023-09-13,12.5
180,Producto 407,Hogar,Descripción del producto 180,478.39,297,28.92,Proveedor A,2021-06-27,10.77
181,Producto 13,Moda,Descripción del producto 181,199.7,307,25.35,Proveedor C,2024-02-18,29.01
182,Producto 211,Juguetería,Descripción del producto 182,924.61,314,12.32,Proveedor A,2022-10-04,27.34
183,Producto 115,Electrónica,Descripción del producto 183,827.18,78,26.83,Proveedor D,2024-05-02,19.91
184,Producto 76,Deportes,Descripción del producto 184,29.8,458,40.81,Proveedor B,2021-12-11,45.32
185,Producto 375,Juguetería,Descripción del producto 185,811.52,290,10.18,Proveedor A,2024-01-14,45.85
186,Producto 67,Hogar,Descripción del producto 186,392.48,465,42.05,Proveedor B,2024-04-03,38.26
187,Producto 260,Deportes,Descripción del producto 187,700.05,477,5.36,Proveedor D,2020-03-27,8.96
188,Producto 142,Moda,Descripción del producto 188,16.21,192,4.17,Proveedor A,2021-10-06,26.65
189,Producto 72,Deportes,Descripción del producto 189,926.48,364,12.7,Proveedor A,2021-03-05,17.71
190,Producto 322,Electrónica,Descripción del producto 190,628.23,476,11.87,Proveedor C,2020-02-19,8.29
191,Producto 434,Moda,Descripción del producto 191,897.2,379,22.48,Proveedor C,2021-05-13,38.57
192,Producto 425,Electrónica,Descripción del producto 192,405.03,44,29.87,Proveedor B,2024-05-28,1.1
193,Producto 269,Hogar,Descripción del producto 193,136.34,140,26.9,Proveedor D,2024-11-01,34.74
194,Producto 1,Moda,Descripción del producto 194,131.57,272,21.08,Proveedor C,2020-04-05,25.45
195,Producto 49,Deportes,Descripción del producto 195,643.15,465,40.97,Proveedor C,2021-04-24,32.67
196,Producto 239,Electrónica,Descripción del producto 196,986.28,429,19.12,Proveedor A,2020-06-26,37.92
197,Producto 319,Hogar,Descripción del producto 197,767.11,342,18.43,Proveedor C,2024-02-19,20.16
198,Producto 218,Hogar,Descripción del producto 198,438.48,171,27.71,Proveedor C,2024-03-11,44.84
199,Producto 309,Hogar,Descripción del producto 199,229.65,67,33.46,Proveedor B,2021-01-20,28.95
200,Producto 20,Hogar,Descripción del producto 200,833.52,329,33.14,Proveedor A,2023-08-15,16.72
201,Producto 343,Deportes,Descripción del producto 201,966.4,229,8.36,Proveedor C,2021-02-23,49.49
202,Producto 187,Deportes,Descripción del producto 202,417.38,320,11.48,Proveedor B,2023-10-11,16.33
203,Producto 77,Deportes,Descripción del producto 203,187.47,144,21.82,Proveedor D,2021-02-01,11.38
204,Producto 50,Electrónica,Descripción del producto 204,471.37,21,8.97,Proveedor D,2021-12-22,7.55
205,Producto 80,Juguetería,Descripción del producto 205,243.98,411,15.97,Proveedor D,2021-04-16,19.63
206,Producto 10,Electrónica,Descripción del producto 206,334.34,180,46.5,Proveedor D,2023-01-08,26.32
207,Producto 209,Juguetería,Descripción del producto 207,256.84,333,6.12,Proveedor D,2024-01-08,12.36
208,Producto 36,Moda,Descripción del producto 208,343.28,29,33.41,Proveedor C,2020-05-26,42.81
209,Producto 315,Hogar,Descripción del producto 209,822.21,448,11.88,Proveedor C,2021-07-10,6.29
210,Producto 480,Electrónica,Descripción del producto 210,584.55,121,10.84,Proveedor C,2022-01-09,4.66
211,Producto 388,Moda,Descripción del producto 211,770.14,493,16.16,Proveedor D,2023-09-02,21.39
212,Producto 167,Electrónica,Descripción del producto 212,957.16,444,24.33,Proveedor D,2022-05-24,9.85
213,Producto 44,Deportes,Descripción del producto 213,79.38,313,47.78,Proveedor D,2021-01-22,13.49
214,Producto 444,Juguetería,Descripción del producto 214,705.71,261,27.27,Proveedor B,2020-12-06,38.82
215,Producto 374,Electrónica,Descripción del producto 215,366.81,180,14.73,Proveedor C,2024-06-24,6.87
216,Producto 163,Hogar,Descripción del producto 216,920.13,176,33.96,Proveedor D,2023-01-24,31.1
217,Producto 299,Juguetería,Descripción del producto 217,924.7,77,8.84,Proveedor B,2022-05-08,40.42
218,Producto 181,Electrónica,Descripción del producto 218,688.57,500,21.85,Proveedor B,2021-06-18,20.84
219,Producto 150,Electrónica,Descripción del producto 219,611.88,262,23.56,Proveedor B,2021-08-22,27.54
220,Producto 264,Electrónica,Descripción del producto 220,518.32,240,28.48,Proveedor B,2024-04-19,35.71
221,Producto 81,Moda,Descripción del producto 221,714.32,258,7.42,Proveedor A,2022-05-03,14.27
222,Producto 415,Hogar,Descripción del producto 222,467.35,90,24.54,Proveedor D,2022-03-11,32.92
223,Producto 434,Hogar,Descripción del producto 223,544.51,236,17.88,Proveedor C,2021-01-09,27.54
224,Producto 213,Deportes,Descripción del producto 224,522.95,361,13.39,Proveedor A,2022-09-18,14.84
225,Producto 341,Moda,Descripción del producto 225,344.77,496,44.74,Proveedor D,2023-04-13,43.48
226,Producto 70,Electrónica,Descripción del producto 226,503.28,160,7.94,Proveedor B,2021-05-26,32.92
227,Producto 107,Moda,Descripción del producto 227,813.56,474,4.81,Proveedor D,2020-08-21,25.12
228,Producto 186,Moda,Descripción del producto 228,166.58,440,41.39,Proveedor D,2022-07-26,48.52
229,Producto 415,Hogar,Descripción del producto 229,689.71,169,31.77,Proveedor B,2024-09-14,9.92
230,Producto 80,Deportes,Descripción del producto 230,954.98,174,40.95,Proveedor A,2024-12-03,42.45
231,Producto 392,Electrónica,Descripción del producto 231,385.8,312,6.38,Proveedor D,2024-10-14,11.68
232,Producto 169,Deportes,Descripción del producto 232,608.9,446,46.56,Proveedor B,2024-09-08,43.72
233,Producto 413,Hogar,Descripción del producto 233,420.76,53,2.49,Proveedor A,2021-07-19,31.34
234,Producto 26,Juguetería,Descripción del producto 234,672.66,217,11.99,Proveedor A,2021-01-19,11.09
235,Producto 161,Juguetería,Descripción del producto 235,867.58,27,39.9,Proveedor B,2020-04-12,21.76
236,Producto 237,Hogar,Descripción del producto 236,895.52,355,24.33,Proveedor D,2021-03-28,14.48
237,Producto 387,Electrónica,Descripción del producto 237,206.97,310,6.47,Proveedor B,2021-09-24,39.76
238,Producto 177,Moda,Descripción del producto 238,955.69,291,27.64,Proveedor A,2020-02-13,27.22
239,Producto 395,Moda,Descripción del producto 239,89.3,241,37.05,Proveedor D,2021-04-21,39.75
240,Producto 59,Juguetería,Descripción del producto 240,725.37,106,23.88,Proveedor C,2022-09-10,18.63
241,Producto 372,Electrónica,Descripción del producto 241,506.01,303,29.61,Proveedor C,2023-03-17,19.06
242,Producto 494,Hogar,Descripción del producto 242,330.76,474,3.06,Proveedor D,2021-06-25,43.45
243,Producto 134,Electrónica,Descripción del producto 243,869.79,437,5.92,Proveedor D,2024-11-22,31.16
244,Producto 94,Hogar,Descripción del producto 244,195.17,295,3.79,Proveedor A,2021-09-28,10.63
245,Producto 101,Electrónica,Descripción del producto 245,860.33,1,12.8,Proveedor C,2023-06-06,24.6
246,Producto 337,Electrónica,Descripción del producto 246,171.24,228,39.58,Proveedor D,2022-11-24,23.51
247,Producto 210,Deportes,Descripción del producto 247,759.15,94,9.61,Proveedor D,2021-04-04,2.59
248,Producto 401,Moda,Descripción del producto 248,86.77,430,34.38,Proveedor A,2023-09-02,0.12
249,Producto 485,Juguetería,Descripción del producto 249,619.49,462,17.37,Proveedor B,2024-10-12,47.34
250,Producto 146,Hogar,Descripción del producto 250,999.74,343,38.32,Proveedor B,2021-05-06,28.37
251,Producto 237,Juguetería,Descripción del producto 251,473.54,426,16.0,Proveedor B,2022-09-26,30.66
252,Producto 246,Moda,Descripción del producto 252,198.08,450,5.43,Proveedor B,2023-12-17,31.45
253,Producto 171,Juguetería,Descripción del producto 253,446.18,390,19.54,Proveedor A,2023-05-09,15.93
254,Producto 145,Hogar,Descripción del producto 254,612.19,11,25.78,Proveedor C,2020-09-19,39.0
255,Producto 342,Juguetería,Descripción del producto 255,788.45,289,6.95,Proveedor D,2023-12-28,27.87
256,Producto 407,Moda,Descripción del producto 256,141.0,399,49.99,Proveedor A,2020-06-14,38.44
257,Producto 229,Hogar,Descripción del producto 257,700.57,472,47.33,Proveedor D,2022-10-21,7.39
258,Producto 106,Moda,Descripción del producto 258,655.22,360,46.02,Proveedor C,2023-12-01,16.26
259,Producto 90,Moda,Descripción del producto 259,858.91,57,7.7,Proveedor D,2023-03-25,0.55
260,Producto 374,Moda,Descripción del producto 260,714.83,139,35.98,Proveedor C,2024-08-22,48.37
261,Producto 81,Electrónica,Descripción del producto 261,88.6,88,16.22,Proveedor D,2024-01-02,38.06
262,Producto 482,Juguetería,Descripción del producto 262,623.54,465,49.64,Proveedor C,2020-05-23,49.61
263,Producto 138,Electrónica,Descripción del producto 263,416.36,444,11.5,Proveedor C,2023-07-23,7.04
264,Producto 155,Juguetería,Descripción del producto 264,767.11,267,27.54,Proveedor B,2021-12-18,13.09
265,Producto 66,Moda,Descripción del producto 265,192.16,375,42.02,Proveedor D,2022-02-22,19.09
266,Producto 146,Juguetería,Descripción del producto 266,927.53,491,8.96,Proveedor A,2021-02-06,29.66
267,Producto 371,Electrónica,Descripción del producto 267,697.98,318,48.96,Proveedor C,2022-04-12,23.88
268,Producto 420,Juguetería,Descripción del producto 268,788.59,377,16.0,Proveedor D,2021-01-09,17.45
269,Producto 243,Deportes,Descripción del producto 269,97.63,6,24.56,Proveedor A,2021-06-15,5.82
270,Producto 340,Moda,Descripción del producto 270,178.55,466,2.26,Proveedor A,2023-02-09,13.04
271,Producto 283,Juguetería,Descripción del producto 271,447.79,55,37.87,Proveedor D,2024-12-28,46.95
